abundance	counts	length	countsFromAbundance	log10abundance_norm
ENSMUSG00000000001	24.8016	4147	3050.82	no	1.33679745930206
ENSMUSG00000000003	0	0	588.4885	no	-0.0057937204204521
ENSMUSG00000000028	58.945116	5549.99294	1717.93532819445	no	1.69833945068208
ENSMUSG00000000031	1.5252195	141.99993	1698.70373286599	no	0.377200731325718
ENSMUSG00000000037	174.18225	17431.02	1825.91575490614	no	2.16185488247005
ENSMUSG00000000049	0	0	460.05675	no	-0.0057937204204521
ENSMUSG00000000056	4.630638	1035.9952	4082.07854111507	no	0.69184041402243
ENSMUSG00000000058	0.0361758	5	2521.82	no	0.00901197449045787
ENSMUSG00000000078	17.2172	3780	4005.82	no	1.18742175381914
ENSMUSG00000000085	21.170778338546	1733.8714380176	1494.31569591498	no	1.2705783307812
ENSMUSG00000000088	271.93	7140.94	479.138	no	2.35230274591426
ENSMUSG00000000093	0.630487	118	3414.82	no	0.186862825157418
ENSMUSG00000000094	0.419091000122527	63.1153000188018	2747.8200000152	no	0.131922510251622
ENSMUSG00000000103	0	0	2604.82	no	-0.0057937204204521
ENSMUSG00000000120	18.3003	3244.48	3234.82	no	1.21225066896549
ENSMUSG00000000125	1.01902	160	2864.82	no	0.282503200497404
ENSMUSG00000000126	0.0822025	14	3107.46008272255	no	0.020892269051881
ENSMUSG00000000127	4.64367	671	2636.47398058002	no	0.694356210197944
ENSMUSG00000000131	163.9966722	15493.99375	1723.81697656587	no	2.13474628072137
ENSMUSG00000000134	138.541873	21095.8541	2778.29094842857	no	2.0628614104494
ENSMUSG00000000142	17.842058	2538.0007	2595.42647156174	no	1.20136184821119
ENSMUSG00000000148	19.949577	3426.997	3134.31476277116	no	1.24717458725135
ENSMUSG00000000149	9.45453	1660.66	3204.82	no	0.951083785086557
ENSMUSG00000000154	6.735128	443.0001	1200.10479213758	no	0.828938142402488
ENSMUSG00000000157	0	0	1945.97525	no	-0.0057937204204521
ENSMUSG00000000159	0.155774	14	1639.82	no	0.0537807004001966
ENSMUSG00000000167	5.615465	207.15767	673.095447673345	no	0.760535290843057
ENSMUSG00000000168	38.9741	4027.9958	1885.7086083127	no	1.52447840810688
ENSMUSG00000000171	115.073	6785	1075.82	no	1.9829986039089
ENSMUSG00000000182	1.19527	105	1602.82	no	0.307117002724962
ENSMUSG00000000183	0.0536208	3	1020.82	no	0.0159702785423853
ENSMUSG00000000184	0.13959	42	5489.82	no	0.0465485990204045
ENSMUSG00000000194	38.111329	5810.72548	2781.87969774809	no	1.51392369741338
ENSMUSG00000000197	0.393785	149	6903.82	no	0.118859829433828
ENSMUSG00000000202	0.6584403	22.99999	637.343636601526	no	0.199420874396393
ENSMUSG00000000204	1.036814	206.7251	3637.92935037528	no	0.270591791619595
ENSMUSG00000000214	0.1994291	14.99998	1372.34602956439	no	0.0686343269880233
ENSMUSG00000000215	0	0	245.8031125	no	-0.0057937204204521
ENSMUSG00000000216	0	0	2779.82	no	-0.00590928574736988
ENSMUSG00000000223	5.553243	1667.7282	5479.50543209796	no	0.755573301779369
ENSMUSG00000000244	5.709314	333.00024	1064.19759703355	no	0.764520353196823
ENSMUSG00000000247	0.536013	59	2008.34691819042	no	0.158598893101037
ENSMUSG00000000248	0.00977844	1.1752	2192.82	no	-0.00174001151108634
ENSMUSG00000000253	2.214478	151.9998	1252.37176474998	no	0.465538628028394
ENSMUSG00000000263	0.0460223	4	1585.82	no	0.0127532937562953
ENSMUSG00000000266	0.6992156	143.0014	3731.57014973922	no	0.208689942519726
ENSMUSG00000000275	42.08389237	12115.444536	5252.73634071704	no	1.55552015587256
ENSMUSG00000000276	20.22964396616	8570.79708618	7730.29591546845	no	1.2535187863009
ENSMUSG00000000278	84.4455	8728	1885.82	no	1.85057538363673
ENSMUSG00000000282	30.79395	6874.9975	4073.51058589431	no	1.42491653375236
ENSMUSG00000000290	0.0992042	15	2758.82	no	0.0295337544287864
ENSMUSG00000000295	35.6911398	1373.99971	702.406187465215	no	1.48747639066492
ENSMUSG00000000296	11.9067	689	1055.82	no	1.04209904899507
ENSMUSG00000000301	9.3852324	214.99991	417.980108949886	no	0.948716924465838
ENSMUSG00000000303	48.224688	11098.47278	4199.10059816416	no	1.61305694456628
ENSMUSG00000000305	0.9896378	228.9996	4222.03219860205	no	0.254777126414825
ENSMUSG00000000308	51.018289	2291.00235	819.33480932475	no	1.63588838342509
ENSMUSG00000000317	0.462677	80	3154.82	no	0.1485654530881
ENSMUSG00000000318	0.6685711	20.572877	561.448535423084	no	0.180823305749959
ENSMUSG00000000320	2.479623	363.3354	2673.52396991801	no	0.489707755971244
ENSMUSG00000000325	16.597895	2049.6669	2253.16114059994	no	1.17238552752694
ENSMUSG00000000326	14.178941	1371.5545	1764.95075800231	no	1.11179331821393
ENSMUSG00000000339	49.38934	3073.1246	1135.29509455401	no	1.62282724203312
ENSMUSG00000000340	14.3647	2428.65	3084.82	no	1.11527487577942
ENSMUSG00000000346	43.9416	3889	1614.82	no	1.57384778019617
ENSMUSG00000000355	271.37942	4406.9986	296.297607087155	no	2.35183582653864
ENSMUSG00000000359	0.0296	2	1232.82	no	0.0040625745720254
